Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1311,1.67,-2.95,1.68,-24.414,38.086,1020.020,-22.80,-13.20,-34.05,16.24
1328,0.11,-1.47,-1.59,-26.855,41.992,1015.625,-22.65,-14.25,-33.15,16.05
1337,-0.05,-1.31,0.31,-20.508,33.203,1016.113,-22.05,-13.65,-32.55,16.05
1347,0.60,-1.43,0.37,-14.160,43.457,1020.508,-22.05,-12.90,-34.05,16.19
1357,-0.47,-0.16,-1.71,-30.273,38.086,1014.648,-22.95,-13.80,-33.90,16.19
1367,0.28,-2.00,-3.51,-33.691,36.621,1017.578,-21.90,-13.50,-34.20,15.95
1377,-1.23,-2.26,-2.17,-18.555,26.855,1018.066,-21.90,-13.50,-34.20,15.91
1387,-0.92,3.84,-1.42,-28.809,33.691,1017.090,-21.00,-12.75,-32.70,16.24
1399,0.22,1.15,-4.03,-10.742,43.945,1020.508,-22.65,-13.50,-33.45,15.76
1409,-0.05,-1.43,-1.79,-24.414,30.273,1014.648,-22.65,-13.50,-33.45,16.10
1419,-0.47,0.63,-0.52,-14.160,30.273,1013.672,-23.40,-14.25,-32.40,16.10
1429,-0.15,0.41,-2.30,-22.461,35.156,1015.137,-22.80,-14.10,-32.55,16.24
1439,-1.10,0.21,-1.48,-17.578,35.156,1007.324,-22.65,-13.05,-32.70,15.95
1449,3.17,0.34,-2.89,-31.250,27.344,1020.996,-22.05,-14.85,-33.30,16.29
1459,-0.63,-3.69,-0.11,-19.531,31.250,1020.996,-22.05,-14.85,-33.30,15.86
1471,1.02,-1.30,-0.93,-17.578,39.551,1013.184,-21.30,-12.45,-33.30,15.95
1481,-1.10,0.11,-0.83,-20.020,38.574,1011.230,-20.70,-13.05,-33.15,16.05
1491,0.50,-0.33,1.68,-21.484,43.457,1018.066,-20.70,-13.05,-33.15,16.10
1501,-0.23,-0.53,-2.73,-33.691,30.762,1022.949,-21.60,-12.45,-33.30,16.10
1511,-0.05,0.19,1.45,-20.996,43.945,1015.137,-22.05,-13.65,-33.75,16.19
1521,-1.71,-0.33,-2.81,-28.809,40.039,1008.789,-22.95,-13.05,-33.15,16.38
1531,-0.60,-0.12,-0.42,-23.926,39.063,1009.766,-22.35,-12.90,-33.75,16.24
1543,-1.54,-0.73,-1.56,-29.297,30.273,1020.508,-23.40,-13.80,-33.45,16.19
1553,2.47,-0.61,1.81,-29.297,27.832,1009.277,-22.35,-14.10,-33.30,16.10
1563,-0.01,-1.19,1.80,-24.414,35.156,1019.043,-22.35,-14.10,-33.30,15.86
1573,0.40,-0.71,-2.85,-31.250,34.668,1016.113,-22.05,-14.10,-33.30,16.24
1583,1.36,-0.76,2.40,-33.691,34.668,1022.461,-22.05,-13.20,-33.30,16.05
1593,0.21,3.06,-2.66,-15.625,30.273,1013.184,-21.60,-13.20,-33.30,16.19
1603,0.82,1.02,-1.30,-14.160,47.852,1014.160,-22.05,-13.65,-33.00,15.95
1615,-0.24,-1.34,-1.17,-25.391,43.457,1014.648,-22.05,-13.65,-33.00,16.10
1625,-0.76,0.21,-0.78,-27.832,30.273,1007.812,-23.55,-12.90,-34.05,16.43
1635,-0.72,-1.47,0.12,-22.949,35.645,1013.672,-22.65,-13.80,-33.15,16.10
1645,0.15,-0.09,-1.63,-37.109,41.992,1016.602,-22.35,-13.65,-33.00,15.86
1655,1.05,-0.91,1.58,-30.273,30.273,1026.367,-20.85,-13.20,-32.55,16.38
1665,-0.96,-0.17,-0.04,-21.973,40.039,1001.465,-22.20,-13.50,-32.40,16.38
1677,0.49,-0.02,-0.76,-29.785,37.109,1016.602,-22.20,-13.80,-33.45,16.19
1687,-0.07,0.36,-1.53,-29.785,32.715,1013.184,-23.25,-12.15,-33.00,16.19
1697,-1.11,-0.11,0.00,-22.949,44.434,1020.996,-23.25,-12.15,-33.00,16.38
1707,-0.38,-0.31,-0.47,-28.809,21.484,1011.230,-21.90,-13.05,-34.65,16.29
1717,-0.98,-1.43,-0.47,-33.203,31.738,1017.578,-21.90,-12.75,-33.90,16.10
1727,1.63,-2.50,0.26,-32.715,31.738,1014.648,-24.00,-12.90,-32.25,15.86
1737,0.18,0.98,-3.01,-16.113,29.785,1020.508,-22.65,-14.25,-32.40,16.24
1749,-1.20,0.82,-2.24,-14.160,42.969,1020.508,-21.90,-13.05,-33.15,15.95
1759,0.39,-1.10,-0.52,-25.391,36.133,1020.508,-22.65,-13.50,-33.90,16.10
1769,0.41,0.78,0.94,-26.367,46.387,1029.297,-22.80,-14.10,-32.55,16.24
1778,-0.14,0.27,-0.85,-24.414,44.434,1020.996,-22.80,-14.10,-32.55,16.19
1788,0.08,-1.53,-0.60,-37.109,35.156,1020.020,-22.95,-12.30,-32.70,16.10
1798,1.79,-1.85,2.39,-20.508,39.063,1026.855,-22.35,-13.20,-31.50,15.95
1808,-0.89,2.77,-0.53,-31.738,35.156,1006.348,-21.60,-14.40,-33.00,16.24
1820,0.90,-1.40,-2.50,-30.273,42.480,1016.602,-23.25,-13.65,-33.30,16.24
1842,-0.30,0.75,-2.10,-23.437,37.109,1009.766,-22.35,-13.65,-33.00,16.19
1851,1.16,-1.98,-0.22,-13.184,28.320,1027.832,-20.85,-13.65,-34.05,16.19
1861,0.95,-1.17,-1.03,-26.855,39.551,1028.809,-20.85,-13.65,-34.05,16.29
1871,-1.78,-0.53,-0.90,-28.809,27.344,1017.090,-22.20,-13.80,-31.95,16.48
1881,1.02,0.39,0.20,-24.902,42.969,1016.602,-22.65,-13.80,-32.70,15.86
1890,0.56,-1.03,-3.05,-32.227,32.227,1007.812,-23.25,-14.40,-34.50,16.24
1902,-0.31,-0.74,-2.02,-23.437,27.832,1018.555,-20.85,-13.65,-34.50,16.19
1912,-1.05,-0.56,-1.09,-20.020,40.039,1019.043,-20.85,-13.65,-34.50,16.19
1922,-0.82,-0.32,-2.52,-20.996,41.992,1022.949,-22.20,-12.75,-33.90,16.24
1932,1.47,-0.25,2.64,-35.156,35.645,1020.996,-22.05,-14.10,-33.75,16.24
1942,0.41,-1.65,1.41,-22.949,44.434,1025.879,-22.05,-14.10,-33.75,16.38
1952,-2.23,-1.04,-0.74,-22.949,32.715,1013.184,-22.20,-13.80,-32.40,15.86
1962,-1.53,-1.75,1.25,-32.715,34.668,1016.602,-22.05,-12.45,-33.30,16.38
1974,-0.95,-1.05,-1.74,-23.926,41.504,1017.578,-22.95,-14.25,-33.45,16.05
1984,-0.59,0.23,1.91,-30.762,30.762,1024.414,-22.95,-14.25,-33.45,16.29
1994,-0.42,-0.85,-2.25,-27.344,42.480,1019.043,-22.95,-13.05,-33.90,16.24
2004,0.13,0.11,-1.82,-27.344,49.805,1018.066,-21.45,-14.25,-33.90,16.48
2014,-0.84,-1.89,-0.17,-33.203,31.250,1016.113,-21.45,-14.25,-33.90,16.10
2024,1.69,0.79,-3.30,-14.648,45.410,1023.437,-22.35,-12.45,-33.75,16.29
2034,-0.60,-1.08,0.53,-30.762,39.063,1015.625,-23.40,-15.00,-33.45,16.10
2046,-0.16,1.46,-1.94,-13.672,20.996,1018.555,-22.05,-12.15,-33.30,16.29
2056,1.22,-2.52,0.31,-18.066,26.855,1012.695,-23.25,-13.65,-32.25,15.95
2066,-1.16,-0.56,-1.27,-26.367,45.898,1022.949,-23.25,-13.65,-32.25,16.38
2076,-1.22,-1.86,0.85,-32.227,37.109,1018.555,-22.95,-13.80,-33.45,16.24
2086,-1.76,-0.95,-2.69,-22.461,41.016,1020.020,-21.90,-12.75,-33.15,15.95
2096,2.10,-0.24,-0.39,-14.648,30.762,1005.371,-21.90,-12.75,-33.15,16.05
2108,-1.34,-0.43,0.05,-18.555,44.434,1025.879,-22.05,-14.10,-32.25,16.38
2118,1.36,-1.47,-2.01,-16.113,22.461,1010.254,-23.40,-13.50,-33.45,16.29
2128,0.62,1.77,0.18,-18.066,35.156,1028.320,-23.25,-12.45,-34.05,15.95
2137,-0.98,-0.60,0.37,-14.648,36.133,1015.625,-22.95,-13.50,-33.45,16.43
2147,0.83,1.05,-1.54,-19.531,42.480,1015.137,-22.95,-13.50,-33.45,16.19
2157,0.40,-0.35,-0.21,-31.250,45.410,1014.648,-23.25,-13.20,-33.00,16.19
2167,-0.34,-0.64,-2.65,-27.832,39.551,1013.184,-22.20,-12.75,-33.15,16.29
2179,1.53,-1.94,-0.17,-28.320,34.180,1018.066,-22.20,-12.75,-33.15,16.58
2189,1.01,1.20,-2.94,-18.066,17.578,1020.996,-21.90,-13.05,-33.15,16.24
2199,0.90,1.98,-3.24,-34.180,35.645,1023.926,-21.90,-14.70,-33.15,16.24
2209,-2.48,-0.04,-0.18,-22.949,30.762,1012.695,-23.55,-12.90,-33.00,16.10
2219,-0.66,-2.57,-3.95,-28.809,44.922,1018.066,-21.45,-13.50,-33.90,16.24
2229,-0.43,-2.34,-0.25,-22.949,39.551,1016.602,-21.45,-13.50,-33.90,16.24
2239,-1.25,1.08,-2.60,-21.973,41.016,1026.367,-22.80,-13.20,-33.30,16.43
2251,-2.28,0.57,-2.37,-11.719,44.922,1014.160,-22.65,-12.75,-33.45,16.38
2261,0.55,0.98,-1.73,-23.437,38.574,1018.066,-22.65,-12.30,-33.45,16.29
2271,-0.27,0.51,0.95,-22.949,35.645,1012.695,-21.30,-14.10,-32.55,16.24
2281,-2.31,-1.00,-1.13,-12.695,43.457,1020.508,-22.80,-12.45,-33.30,16.29
2291,-0.89,-0.24,-1.35,-22.461,32.227,1012.695,-21.60,-12.15,-33.75,16.10
2301,-0.05,-1.51,0.98,-16.602,37.109,1033.691,-21.60,-12.90,-33.00,16.29
2311,-0.51,-0.52,-0.59,-16.113,32.715,1024.414,-21.60,-12.90,-33.00,16.24
2323,-0.03,2.76,-1.56,-19.531,46.875,1010.742,-21.60,-12.45,-34.05,16.38
2333,-0.11,0.38,-0.08,-27.344,27.344,1012.207,-22.95,-13.80,-34.20,16.43
2343,-0.79,1.82,-0.44,-19.531,41.016,1022.949,-21.30,-13.20,-33.75,16.24
2359,-1.73,-0.35,-1.66,-20.996,29.297,1015.137,-22.20,-13.80,-33.45,16.10
2368,-2.27,-0.69,-1.25,-33.691,40.039,1028.809,-22.35,-12.15,-33.00,16.05
2378,0.81,2.29,-0.90,-31.738,35.156,1028.809,-22.35,-12.90,-33.00,16.38
2388,0.72,-3.47,-2.48,-24.902,43.457,1027.344,-22.35,-12.90,-33.00,16.48
2402,-2.15,0.05,-1.24,-0.977,-5.371,1036.133,-23.70,-13.50,-34.95,16.29
2412,-0.26,-0.09,1.13,7.812,48.828,900.879,-22.65,-13.50,-33.90,16.19
2422,-0.69,0.15,0.11,-11.719,38.086,1044.922,-22.95,-12.75,-32.70,16.38
2432,1.18,0.15,-3.08,-21.484,18.066,1012.207,-22.65,-13.50,-31.95,16.24
2442,-0.35,-0.38,-3.05,-16.602,4.883,1035.156,-22.65,-13.50,-31.95,16.38
2452,0.03,0.23,-2.03,-2.441,44.434,970.215,-21.60,-14.40,-33.75,16.38
2462,0.42,-1.15,-2.14,-26.367,34.668,1008.789,-22.65,-13.50,-33.15,16.48
2474,-0.80,-1.05,-0.63,-26.855,33.203,1051.270,-22.65,-13.50,-33.15,16.48
2484,-2.20,-2.45,-2.56,-40.039,46.875,1031.250,-21.60,-14.10,-34.50,16.43
2494,0.63,-2.01,-2.18,-25.879,29.297,1017.578,-21.60,-14.10,-34.50,16.24
2504,-1.87,1.93,-0.91,-37.598,50.781,1023.926,-22.05,-12.75,-32.40,16.38
2514,-1.86,-0.39,0.79,-35.645,49.805,1019.043,-22.05,-13.20,-33.75,16.43
2524,0.63,3.38,-0.08,-29.297,31.738,1007.324,-22.05,-13.20,-33.75,16.24
2534,-0.88,-1.82,-0.34,-21.973,28.809,1018.066,-22.35,-14.10,-32.70,16.58
2546,-0.57,0.38,-0.47,-18.066,33.203,1007.324,-22.35,-14.10,-33.00,16.38
2556,2.71,-0.63,0.15,-26.855,39.551,1021.484,-22.80,-12.90,-33.00,16.43
2566,-0.28,0.63,-0.11,-21.484,14.160,1023.437,-22.35,-14.10,-33.75,16.38
2576,1.22,-2.51,-4.11,-18.066,18.066,1011.230,-21.45,-12.30,-33.45,16.10
2586,-0.46,0.15,-1.95,-33.203,37.109,1016.602,-23.25,-12.45,-32.55,16.38
2596,-2.84,0.66,2.11,-32.715,52.246,1017.578,-23.25,-12.45,-32.55,16.38
2606,0.42,4.14,-2.13,-25.879,51.758,1022.949,-21.90,-13.05,-33.15,16.38
2618,-1.05,0.02,0.74,-25.879,35.645,1020.020,-21.90,-13.80,-32.70,16.24
2628,0.19,-1.02,-0.35,-31.738,29.785,1016.602,-21.90,-13.80,-32.70,16.43
2638,0.36,-0.60,-0.56,-35.156,47.852,1025.391,-22.20,-14.25,-33.45,16.38
2648,-0.42,0.24,-1.71,-33.691,41.504,1025.879,-22.80,-14.10,-33.30,16.19
2658,-0.71,0.80,-0.44,-14.648,42.480,1024.414,-22.35,-14.10,-32.25,16.19
2668,0.31,-2.53,-0.30,-22.949,50.293,1041.016,-22.20,-12.30,-33.45,16.24
2678,-0.25,1.70,0.50,-18.066,20.996,1019.531,-22.20,-12.30,-33.45,16.38
2690,0.83,1.51,2.49,-18.555,30.762,995.605,-22.20,-14.25,-33.45,16.38
2700,-1.29,-0.56,2.79,-13.672,37.109,998.047,-21.00,-14.25,-33.15,16.29
2710,0.83,1.54,-1.21,-14.648,9.766,1026.855,-21.00,-14.25,-33.15,16.43
2720,-1.07,0.47,-0.58,-23.926,50.781,1061.523,-21.45,-13.50,-32.70,16.29
2730,-0.23,-0.40,0.23,-12.695,24.902,1033.203,-20.25,-12.75,-31.65,16.38
2740,-1.90,-2.25,-0.40,-10.254,22.949,973.633,-22.20,-12.75,-32.70,16.19
2750,0.58,0.10,-0.06,-6.836,37.109,1006.836,-21.90,-12.75,-33.45,16.29
2762,1.92,0.20,-0.44,-17.578,30.273,1009.277,-21.90,-12.75,-33.45,16.19
2772,-0.73,0.46,0.85,-18.555,27.344,1027.832,-22.20,-13.50,-32.40,16.24
2782,-1.11,0.89,0.60,2.930,35.156,1024.414,-21.60,-12.90,-33.00,16.29
2792,-1.40,-1.40,-2.86,45.898,22.949,1029.785,-22.20,-13.05,-33.15,16.38
2802,-0.99,1.36,-0.56,26.855,65.430,1000.000,-22.05,-12.15,-33.00,16.43
2812,1.56,-0.33,-1.58,19.531,44.922,1026.855,-21.45,-12.30,-31.95,16.29
2822,-1.69,-1.08,-1.89,40.039,53.711,1033.203,-21.00,-12.30,-33.15,16.29
2834,0.73,-1.92,0.00,41.016,-20.020,1016.113,-21.90,-11.85,-32.70,16.19
2844,-0.61,-4.02,1.46,47.852,50.781,1062.988,-21.90,-11.85,-32.70,16.10
2854,-1.40,1.65,-1.59,5.859,12.207,962.891,-20.10,-12.45,-33.00,16.38
2864,-1.37,1.33,-0.50,29.297,36.133,993.652,-21.45,-12.30,-32.40,16.43
2879,-0.78,-0.88,0.14,24.414,44.922,1032.715,-21.90,-12.30,-32.40,16.38
2888,0.59,0.63,-1.67,7.324,25.391,1051.270,-21.90,-12.30,-32.40,16.24
2900,0.17,-1.61,1.44,7.324,32.227,1033.203,-22.65,-11.85,-31.95,16.48
2910,-0.54,-0.24,-2.73,0.977,26.367,1023.437,-22.35,-12.90,-33.30,16.19
2920,-0.05,0.64,-2.62,8.789,20.996,1028.320,-22.35,-12.90,-33.30,16.38
2930,0.18,-2.61,2.36,-12.695,20.020,1026.367,-22.95,-13.05,-32.40,16.38
2940,2.21,0.69,-2.98,-3.418,42.480,1034.180,-21.00,-14.70,-32.70,16.38
2950,0.88,0.40,2.22,24.414,41.992,1004.395,-23.70,-13.50,-33.45,16.29
2960,-0.18,0.12,-2.75,-26.367,54.199,1058.594,-22.20,-13.50,-33.15,16.19
2972,1.85,-1.62,-1.75,40.527,69.336,1022.461,-22.20,-13.50,-33.15,16.29
2982,-1.14,1.64,0.51,22.949,17.090,1044.922,-21.45,-13.80,-34.20,16.48
2992,1.92,0.74,-0.47,28.320,41.016,1025.879,-22.80,-14.10,-33.30,16.10
3001,-0.73,1.82,0.92,45.410,37.109,959.473,-22.80,-14.10,-33.30,16.72
3011,-1.53,0.17,0.95,11.719,2.441,1023.926,-22.65,-13.80,-33.90,16.38
3020,1.96,-0.15,-1.92,-22.949,10.254,1026.855,-23.40,-14.70,-33.15,16.24
3030,-2.03,-2.45,0.20,14.160,77.637,1045.898,-22.05,-14.10,-34.05,15.91
3042,-0.87,1.19,-1.04,-7.324,55.664,967.773,-22.95,-13.80,-34.95,16.38
3052,-1.24,-0.08,-0.23,29.785,22.949,1004.883,-22.95,-13.80,-34.95,16.24
3062,-0.43,0.31,3.04,-31.250,34.668,1043.945,-23.25,-14.40,-33.00,16.43
3072,-0.54,-2.53,-1.54,-29.785,52.246,1035.156,-22.20,-14.25,-32.40,16.48
3082,1.85,1.58,-0.76,-13.672,62.012,1046.387,-22.20,-14.25,-32.40,16.38
3092,-0.19,2.20,-3.20,-23.437,38.574,1070.313,-22.05,-13.20,-34.05,16.43
3102,0.04,-1.34,-1.72,-16.113,46.875,1028.320,-21.60,-12.90,-32.55,16.38
3114,-1.82,2.27,0.76,16.113,110.352,1086.914,-20.85,-12.15,-34.50,16.38
3124,-1.89,0.21,-2.13,-0.977,-1.953,1038.574,-21.60,-12.45,-34.80,16.43
3134,1.78,-4.40,1.92,-4.883,87.891,1073.242,-21.60,-12.45,-34.80,16.19
3144,0.86,0.23,-0.95,54.688,11.230,1021.973,-24.30,-12.45,-34.05,16.48
3154,0.55,-1.82,-0.08,104.980,9.766,1056.641,-23.70,-13.05,-34.95,16.38
3164,1.73,-0.09,0.06,12.695,40.039,1005.371,-23.70,-13.05,-34.95,16.29
3174,0.85,-0.26,-1.95,64.453,41.016,1039.063,-24.75,-13.20,-34.80,16.58
3186,-3.88,-2.01,1.15,3.906,53.223,1003.906,-24.60,-12.30,-34.65,16.43
3196,0.80,0.75,0.06,-1.953,55.664,1029.297,-24.30,-13.65,-34.05,16.19
3206,1.01,1.14,-0.02,2.441,50.293,1003.418,-24.30,-13.65,-34.05,16.24
3215,0.31,2.60,-1.18,81.543,25.391,1075.195,-24.30,-13.65,-34.05,16.43
3225,0.38,1.84,-0.57,127.930,23.437,908.203,-23.55,-14.85,-33.30,16.38
3234,-1.73,0.84,0.62,145.996,-0.488,1045.410,-23.70,-13.80,-34.20,16.19
3244,-0.92,-1.11,-0.87,126.465,29.785,995.117,-23.70,-13.80,-34.20,16.48
3254,0.97,-2.98,-0.32,77.148,14.648,1090.820,-24.30,-14.10,-33.75,16.38
3266,0.73,-0.84,-1.91,59.082,11.230,954.590,-23.70,-12.30,-34.65,16.24
3276,0.05,-2.78,-4.46,34.668,12.207,1062.988,-21.90,-12.30,-33.90,16.43
3286,-0.01,-1.76,0.24,83.008,34.668,1072.266,-21.90,-12.30,-33.90,16.38
3296,0.47,3.31,0.34,176.270,22.461,987.793,-22.20,-13.05,-31.20,16.43
3305,-6.33,-10.07,12.73,190.430,77.637,921.387,-22.20,-13.05,-31.20,16.29
3315,4.62,-7.67,-57.01,561.523,-80.566,589.355,-19.65,-13.20,-32.25,16.24
3325,-1.57,-0.86,-17.34,-6.348,38.086,1120.117,-21.00,-13.05,-31.20,16.38
3337,-1.16,-2.69,0.44,-71.289,6.348,1060.059,-21.30,-14.40,-32.25,16.24
3347,0.02,-1.31,-4.29,144.531,-16.113,1073.730,-22.20,-15.45,-31.65,16.62
3357,0.50,0.60,-2.78,147.949,37.109,922.363,-20.55,-14.40,-30.30,16.43
3367,1.98,-3.66,1.05,82.031,27.832,1028.809,-20.55,-14.40,-30.30,16.38
3376,1.82,1.90,0.15,40.527,13.672,933.594,-19.65,-13.20,-31.05,16.48
3391,-0.38,-0.65,-3.79,100.586,27.832,1033.691,-19.95,-12.75,-30.90,16.72
3400,-0.43,0.22,-1.33,160.156,51.270,1047.852,-18.90,-12.45,-31.50,16.48
3412,1.02,-0.69,-0.67,137.207,58.105,981.445,-20.10,-12.90,-31.05,16.48
3422,-1.70,0.05,-3.48,42.969,12.207,990.234,-20.10,-12.90,-31.05,16.43
3432,-0.53,-2.02,-2.34,95.215,8.789,1050.293,-20.55,-14.40,-33.00,16.58
3442,-1.44,1.89,-1.42,157.227,35.156,1006.348,-22.05,-14.40,-33.75,16.43
3452,-1.64,0.38,-4.18,102.539,2.930,975.586,-22.05,-14.40,-33.75,16.19
3462,0.82,-2.44,-1.22,56.641,54.199,1054.688,-22.35,-14.10,-35.25,16.24
3472,-0.37,-2.85,-1.45,169.922,27.344,1032.715,-23.70,-13.80,-34.95,16.38
3484,-1.69,0.61,-5.30,181.641,20.508,963.867,-23.70,-12.30,-35.70,16.29
3494,-0.28,0.65,-3.85,7.324,21.973,1011.230,-24.90,-13.50,-36.90,16.58
3504,-1.26,-2.67,1.88,158.691,14.648,1149.414,-24.90,-13.50,-36.90,16.58
3514,-1.08,-1.83,-6.14,237.305,23.926,1036.621,-26.25,-14.85,-33.30,16.43
3524,0.98,-0.85,2.35,-17.090,36.133,980.957,-24.60,-15.45,-35.40,16.24
3534,-0.52,0.07,-5.04,101.563,-16.602,1027.344,-24.60,-15.45,-35.40,16.19
3544,-2.49,0.53,-1.76,277.344,-2.441,1006.836,-22.35,-13.20,-31.50,16.48
3556,-0.36,1.39,-2.42,-6.836,16.113,969.238,-22.20,-13.50,-32.40,16.29
3566,-1.45,-1.27,-3.73,158.203,19.043,1059.570,-19.65,-14.10,-32.25,16.38
3576,-2.39,1.06,-2.27,273.437,-40.527,982.910,-19.65,-14.10,-32.25,16.29
3586,-0.74,-0.27,-4.79,-71.289,-17.090,939.453,-19.65,-14.10,-32.25,16.58
3596,-0.49,-1.79,-4.36,305.664,4.395,1045.410,-19.20,-11.85,-32.70,16.62
3606,-1.03,-2.31,-4.00,169.922,15.137,1003.418,-19.20,-11.85,-32.70,16.38
3616,-0.95,-3.27,-4.58,-76.660,-34.180,1076.172,-22.80,-12.15,-32.70,16.29
3628,-2.50,-0.19,-2.99,238.281,-7.812,908.691,-24.60,-13.05,-34.95,16.38
3638,-0.37,-5.31,-8.73,31.250,-13.672,1263.672,-25.35,-11.85,-35.40,16.19
3648,-0.55,0.60,-2.93,312.988,-46.387,707.520,-26.10,-13.50,-34.95,16.43
3658,-0.24,-1.15,-11.30,-7.812,110.840,1375.000,-26.10,-13.50,-34.95,16.62
3668,-2.08,-2.63,-2.02,318.848,-10.742,895.020,-25.05,-14.10,-34.50,16.58
3678,-0.86,2.01,-2.82,66.895,7.812,995.605,-22.95,-13.05,-33.45,16.62
3688,-1.02,-2.06,-5.24,118.652,-89.355,1293.945,-22.20,-13.05,-30.45,16.38
3700,-0.37,2.31,-8.31,88.379,20.020,906.250,-20.70,-14.70,-30.45,16.29
3710,-0.15,-1.47,-5.77,256.348,-50.781,1048.828,-18.75,-13.80,-30.45,16.43
3720,0.87,0.63,-5.75,128.418,-35.156,858.398,-19.50,-13.80,-30.90,16.24
3730,-0.58,-3.81,-5.15,151.367,20.996,1414.551,-19.35,-14.10,-32.55,16.77
3740,3.53,2.23,-4.22,127.930,-115.723,884.766,-19.35,-14.10,-32.55,16.38
3750,0.49,-1.84,-4.47,80.566,-54.688,1264.160,-23.70,-13.50,-36.15,16.38
3760,1.87,3.41,-7.33,219.238,-54.688,617.187,-24.30,-11.70,-36.30,16.58
3772,-0.85,0.18,-8.76,81.543,43.457,928.711,-25.80,-12.45,-36.00,16.48
3782,-0.11,0.70,-8.61,209.961,10.742,1080.078,-25.50,-13.20,-34.05,16.38
3792,0.29,0.70,-7.61,97.168,63.477,796.875,-25.50,-13.20,-34.05,16.48
3802,2.85,0.69,-5.76,207.031,-66.895,1201.172,-21.45,-12.30,-32.40,16.43
3812,0.69,-1.77,-7.33,102.539,26.855,908.691,-21.60,-14.85,-31.80,16.43
3822,1.72,-2.57,-9.01,233.887,-147.461,1249.512,-21.60,-14.85,-31.80,16.48
3832,1.34,0.70,-5.59,115.723,1.953,1034.668,-18.60,-12.90,-31.05,16.38
3844,-0.82,-1.83,-8.82,139.160,-59.082,641.602,-19.95,-13.05,-32.40,16.62
3854,-0.90,-4.39,-8.44,207.520,-21.973,1118.652,-23.25,-11.70,-35.55,16.43
3864,-2.41,-0.97,-8.34,99.609,38.086,980.469,-25.05,-11.70,-36.30,16.43
3874,-0.42,0.21,-9.15,75.684,22.949,1117.188,-25.05,-11.70,-36.30,16.48
3884,-1.75,0.53,-7.95,254.883,-59.082,1103.027,-24.60,-12.30,-34.95,16.38
3894,-0.88,2.22,-11.10,115.234,121.094,1033.691,-22.20,-12.75,-32.70,16.58
3911,-0.22,0.93,-6.21,79.102,-4.883,969.238,-18.45,-12.30,-30.15,16.62
