Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1322,0.49,-1.08,-3.79,46.875,73.730,1029.785,-26.25,-13.20,-32.25,16.96
1338,-0.36,0.20,-0.10,388.672,1.953,976.074,-23.25,-12.45,-29.55,16.91
1348,-0.46,-0.94,-0.04,72.266,-5.859,1150.879,-23.25,-12.45,-29.55,16.96
1358,-0.39,-6.13,-1.37,32.227,92.285,1092.285,-21.30,-12.90,-29.10,16.91
1368,0.55,0.85,-2.78,275.391,10.254,829.590,-20.25,-11.85,-28.95,16.91
1377,0.40,-0.81,-2.48,-24.902,56.641,1259.277,-20.25,-11.85,-28.95,16.82
1387,2.31,0.39,-0.49,287.109,-48.340,818.359,-21.30,-11.70,-28.05,16.96
1397,1.00,0.01,-1.90,102.051,13.184,1159.180,-22.05,-12.45,-29.85,16.77
1409,1.80,-2.62,-1.18,142.090,-8.789,998.047,-22.80,-11.25,-31.05,16.82
1419,0.24,0.74,-2.15,33.691,72.266,969.238,-24.15,-12.30,-32.40,16.96
1429,0.62,-3.25,-2.80,173.340,-159.668,1078.613,-24.15,-12.30,-32.40,16.91
1439,1.50,-3.06,-1.66,51.270,75.195,970.215,-27.60,-12.30,-32.40,16.96
1449,1.19,-0.82,-3.29,68.359,72.266,1240.234,-25.50,-13.20,-32.55,16.96
1459,2.73,-1.63,-8.32,98.145,-36.133,810.547,-25.50,-13.20,-32.55,16.77
1469,1.08,-0.90,-2.73,54.199,4.883,1473.633,-22.05,-12.45,-29.85,16.72
1481,0.24,0.74,-9.18,22.949,398.926,724.609,-21.90,-11.85,-28.20,16.72
1491,0.35,-0.24,-0.67,87.891,-24.414,1794.434,-20.70,-12.30,-28.65,16.91
1501,0.24,3.57,-10.47,164.062,-4.395,606.934,-20.25,-12.30,-29.70,16.91
1511,1.22,-0.70,-2.67,249.023,-64.453,1005.859,-20.25,-12.30,-29.70,16.82
1521,2.48,2.27,0.61,103.516,-14.648,1089.844,-22.65,-12.75,-31.65,17.10
1531,-1.81,-0.31,-2.73,201.172,23.437,889.160,-25.35,-11.85,-33.15,16.96
1541,0.11,-3.72,2.89,168.457,-37.109,1190.918,-25.35,-11.85,-33.15,16.58
1553,-0.52,-0.68,-2.39,151.855,164.062,772.949,-25.05,-11.70,-33.30,16.96
1563,-0.18,-6.56,-4.09,213.867,-147.461,1138.184,-24.00,-12.15,-30.30,16.72
1573,1.71,-1.92,-3.75,146.484,61.523,973.145,-21.90,-12.30,-29.70,16.82
1583,-0.96,-0.85,-1.69,124.023,-3.906,1003.418,-21.90,-12.30,-29.70,17.10
1593,0.55,-2.22,-4.89,201.660,-49.805,1262.207,-20.25,-11.10,-28.65,17.25
1603,1.02,-2.82,-2.21,139.160,131.348,1054.688,-19.65,-10.50,-30.75,16.91
1613,-0.62,-0.40,2.05,88.867,-35.156,902.344,-19.65,-10.50,-30.75,16.91
1625,0.40,-1.38,-7.54,159.668,-107.910,1155.762,-25.05,-11.70,-34.05,16.96
1635,-3.50,2.83,-6.03,227.539,2.930,902.344,-25.50,-10.50,-31.80,16.96
1645,-1.54,-1.95,-5.00,192.871,-37.109,1068.848,-26.40,-12.75,-33.45,16.77
1655,-2.08,1.60,-6.03,276.855,24.414,877.930,-24.15,-11.85,-31.20,16.91
1665,-1.17,0.18,-5.27,174.316,66.895,1010.742,-24.15,-11.85,-31.20,17.01
1675,1.64,-2.71,-5.74,108.398,59.570,1204.102,-19.65,-12.15,-29.10,16.91
1685,-0.05,-0.25,-3.18,79.102,41.016,1094.727,-19.95,-11.10,-28.95,16.96
1697,0.34,-0.35,-5.17,123.047,-124.512,1071.289,-20.85,-10.95,-31.05,17.01
1707,-1.24,1.04,1.34,311.523,54.688,1033.691,-23.40,-9.90,-33.15,17.15
1716,-2.28,-1.74,-9.76,181.641,75.684,986.328,-23.40,-9.90,-33.15,16.62
1726,-0.96,-1.02,-3.97,132.812,-82.031,859.375,-26.40,-11.85,-33.45,17.01
1736,-1.99,1.84,-3.67,197.266,-7.324,1150.879,-23.40,-11.85,-31.95,16.91
1746,-2.00,0.33,-7.79,183.594,85.938,1014.160,-23.40,-11.85,-31.95,17.10
1756,2.45,0.67,-4.08,175.293,32.227,1265.137,-20.10,-12.15,-27.60,17.10
1768,-0.52,-1.00,-4.59,183.594,57.129,912.109,-20.85,-11.25,-29.85,17.10
1778,1.17,-4.84,-4.49,76.660,41.504,1188.477,-22.20,-11.85,-32.40,16.77
1788,0.23,-1.17,-5.70,153.809,17.578,972.168,-25.50,-11.25,-35.25,16.91
1798,-0.15,-0.10,-6.90,236.328,-106.934,931.641,-25.50,-11.25,-35.25,16.62
1808,-4.32,-0.94,-8.16,118.164,-16.113,1140.137,-25.50,-11.25,-33.30,17.15
1818,-0.70,0.92,-5.35,119.629,15.137,965.820,-22.05,-11.25,-30.75,17.10
